_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
496,Our Lady of Wisdom C.S.,236,88.1,3.8,91.1,3.8,43.76210878,-79.30818873
497,Owen P.S.,331,95.2,1.5,94.9,1.5,43.74905619,-79.3925162
498,Palmerston Avenue Jr P.S.,269,92.9,4.5,92.2,4.5,43.66814491,-79.41520495
499,Pape Avenue Jr P.S.,230,96.5,2.2,97.4,2.2,43.67035189,-79.34189362
500,Park Lane P.S.,47,55.3,0,74.5,0,43.72892362,-79.36682006
501,Park Lawn JMS,383,92.7,3.7,93.5,3.7,43.63770661,-79.49644692
502,Parkdale C.I.,493,84.8,1.4,95.7,1.4,43.63965751,-79.43606851
503,Parkdale Jr & Sr P.S.,334,87.1,3.3,86.2,3.3,43.64318729,-79.43679858
504,Parkfield Jr School,152,94.7,2,96.1,1.3,43.6820942,-79.56976738
505,Parkside Elementary,101,94.1,0,96,0,43.69985449,-79.31648307
506,Parkview Alternative,43,88.4,4.7,95.3,4.7,43.76737728,-79.31300261
507,Pauline Johnson Jr P.S.,167,92.8,0.6,93.4,0.6,43.78512986,-79.3035713
508,Pauline Jr P.S.,164,90.2,3,90.9,3,43.66248911,-79.439143670000007
509,Pelmo Park P.S.,166,91.6,3,90.4,3,43.71205673,-79.51811616
510,Percy Williams Jr P.S.,197,98.5,0,98.5,0,43.81266688,-79.26565853
511,Perth Avenue Jr P.S.,175,92,4,90.3,4,43.66283136,-79.45241969
512,Pierre Laporte Middle School,398,88.2,0.8,91.7,0.8,43.72507453,-79.49212431
513,Pineway P.S.,76,90.8,1.3,89.5,1.3,43.7957696,-79.37472553
514,Pleasant P.S.,272,95.2,3.3,93,3.3,43.79006404,-79.43461296
515,Pleasant View Middle School,313,93.9,1.3,93.6,1.3,43.78748776,-79.33390321
516,Pope Francis C.S.,184,89.1,0,91.3,0,43.65163137,-79.42101618
517,Poplar Road Jr P.S.,159,97.5,1.3,98.1,1.3,43.75366045,-79.18747895
518,Port Royal P.S.,243,95.5,0.8,96.3,0.8,43.8246324,-79.28996675
519,Portage Trail Community Jr School,480,91.9,2.9,92.3,2.9,43.69229618,-79.50976688
520,Precious Blood C.S.,327,85.6,0.9,87.5,0.9,43.73935643,-79.30223742
521,Presteign Heights Elementary,135,94.8,4.4,94.1,4.4,43.70554334,-79.31719398
522,Prince of Peace C.S.,230,90.9,0.9,93,0.9,43.82666428,-79.28015052
523,Princess Margaret Jr School,209,89.5,1.4,90.4,1.9,43.67130697,-79.5591424
524,Queen Alexandra Middle School,342,89.5,2.9,95,2.9,43.6611761,-79.35051827
525,Queen Victoria Jr P.S.,586,89.4,3.1,92.5,3.1,43.63625894,-79.43473265
